Company Name,Item,Price,Date
Amazon,Book,25.99,2024-02-01
Starbucks,Coffee,4.50,2024-02-02
Netflix,Subscription,12.99,2024-02-03
Amazon,Headphones,89.99,2024-02-04
Walmart,Groceries,42.75,2024-02-05
Starbucks,Coffee,4.50,2024-02-06
Amazon,Charger,15.99,2024-02-07
Apple,iPhone,999.99,2024-02-08
Amazon,Kindle,119.99,2024-02-09
Walmart,Toys,34.99,2024-02-10
Netflix,Subscription,12.99,2024-02-11
Amazon,DVD,19.99,2024-02-12
Starbucks,Coffee,4.50,2024-02-13
Amazon,Smart Speaker,199.99,2024-02-14
Amazon,Tablet,299.99,2024-02-15
Best Buy,Video Game,59.99,2024-02-16
Target,Clothing,39.99,2024-02-17
McDonald's,Meal,7.99,2024-02-18
Amazon,Bluetooth Speaker,49.99,2024-02-19
Amazon,Board Game,29.99,2024-02-20
Starbucks,Coffee,4.50,2024-02-21
Amazon,External Hard Drive,79.99,2024-02-22
Best Buy,Smartwatch,199.99,2024-02-23
Walmart,Household Supplies,24.99,2024-02-24
Amazon,Printer,149.99,2024-02-25
Target,Electronics,199.99,2024-02-26
Amazon,Desk Chair,129.99,2024-02-27
Amazon,Power Bank,39.99,2024-02-28
Starbucks,Coffee,4.50,2024-02-29
Amazon,Wireless Mouse,19.99,2024-03-01
Best Buy,Laptop,899.99,2024-03-02
Amazon,Blender,59.99,2024-03-03
Target,Home Decor,29.99,2024-03-04
Starbucks,Coffee,4.50,2024-03-05
Amazon,Smart Thermostat,149.99,2024-03-06
